x	mc	sk	or	ru	re	no	top_efm_cutoff
1	-1.585	-1.5845211608909766	-1.5845208410044456	-1.5845208763956935	-1.5845208763956935	-1.5845208763956935	*
2	-0.9086	-0.9086101782430276	-0.9086028690190271	-0.9086023737740762	-0.9086023737740762	-0.9086023737740762	*
3	-0.6566	-0.6566199177363259	-0.656615754348576	-0.6566175746955322	-0.6566175746955322	-0.6566175746955322	*
4	-0.5781	-0.5781267056220446	-0.5781280716821917	-0.5781262175827686	-0.5781262175827686	-0.5781262175827686	*
5	-0.3409	-0.3409376959806006	-0.3409407269305406	-0.34094268817330964	-0.34094268817330964	-0.34094268817330964	*
6	-0.3406	-0.34059307922476684	-0.3405912246081821	-0.3405909384070492	-0.3405909384070492	-0.3405909384070492	*
7	0.6103	0.6103050284260887	0.6103065159217014	0.6103065627866332	0.6103065627866332	0.6103065627866332	*
8	0.7606	0.7605857836161178	0.7605915060589729	0.7605902796993953	0.7605902796993953	0.7605902796993953	*
9	1.046	1.0457318871224612	1.0457441990228387	1.0457436057249752	1.0457436057249752	1.0457436057249752	*
10	2.608	2.6075510820279626	2.607554643575059	2.6075546216785885	2.6075546216785885	2.6075546216785885	*
11	7.988	7.988770733356594	7.988166302659053	7.987934758903663	7.987934758903663	7.987934758903663	
12	-3.901	-900.0	-15.803637773953172	-900.0	-900.0	-900.0	
13	-0.4991	-0.49938182793582325	-0.49929701569273727	-0.4992456346841953	-0.4992456346841953	-0.4992456346841953	
14	-3.017	-900.0	-900.0	-900.0	-900.0	-900.0	
15	-1.672	-900.0	-900.0	-900.0	-900.0	-900.0	
16	-1.116	-1.0741952048449221	-1.0714438452211574	-1.151014881880931	-1.151014881880931	-1.1510149771420324	*
17	-0.8855	-0.6469612654282204	-0.8333895836462153	-0.9127206304283383	-0.9127206304283383	-0.9127213377806463	
18	0.228	0.19410664234837535	0.19252189806244302	0.19321184697871946	0.19321184697871946	0.19321184697871946	*
19	0.8975	7.926160119811743	-900.0	-900.0	-900.0	-900.0	
20	2.798	2.721316005818239	2.762395719866513	2.8283613202800986	2.7631674934262187	2.763169876248934	
21	-3.135	-4.53293950761317	-16.102973579534066	-900.0	-900.0	-900.0	
22	-1.236	-900.0	-900.0	-900.0	-900.0	-900.0	
23	-0.4365	-900.0	-900.0	-900.0	-900.0	-900.0	
24	0.664	0.5976005807848132	0.6025056577908582	0.551934563190817	5.635472995007586	0.6059625733861576	
25	-2.686	-900.0	-900.0	-900.0	-900.0	-900.0	
26	-2.216	-900.0	-900.0	-900.0	-900.0	-3.0864475128400994	
27	-1.657	-900.0	-900.0	-900.0	-900.0	-900.0	
28	-1.417	-900.0	-900.0	-900.0	-900.0	-900.0	
29	-1.286	-11.13017337224613	-900.0	-900.0	-900.0	-900.0	
30	-1.074	-900.0	-900.0	-900.0	-900.0	-900.0	
31	-0.4863	-900.0	-900.0	-900.0	-900.0	-900.0	
32	-0.316	-0.7631628665190615	-0.8923289923292678	-900.0	-900.0	2.61937821222305	
33	-0.274	-0.6256163789164865	-0.3212286238070268	-900.0	-900.0	-900.0	
34	-0.1436	-900.0	-900.0	-900.0	-900.0	-900.0	
35	0.2434	0.42464288624021146	0.456420318600733	-3.0865296365227275	0.5947923560276247	-3.5377389858543244	
36	0.6142	-7.02685985927962	-900.0	1.0933192699411214	-900.0	-900.0	
37	0.6563	-900.0	-900.0	-900.0	-900.0	-900.0	
38	0.8266	0.8128327763940228	0.7325686712352543	0.801793742481068	0.8010321078524528	0.8017698758550772	*
39	1.104	-900.0	-900.0	-900.0	-900.0	-900.0	
40	1.664	-900.0	-900.0	-900.0	-900.0	-900.0	
41	1.757	1.6395626109046568	1.4874414268199128	-900.0	-900.0	-900.0	
42	1.904	-900.0	-900.0	-900.0	-900.0	-900.0	
43	2.035	-900.0	-900.0	-900.0	-900.0	-900.0	
44	2.835	-900.0	-900.0	-900.0	-900.0	-900.0	
45	3.005	3.7653778643315094	3.6215463053492525	-900.0	-900.0	-900.0	
46	3.564	3.090450042126432	3.092328654207031	3.320353554663103	2.792126031880821	-900.0	
47	3.935	-7.196613650361589	-900.0	-900.0	-900.0	-900.0	
48	-3.666	-900.0	-900.0	-900.0	-900.0	-900.0	
49	-2.736	-900.0	-900.0	16.011749892695445	-900.0	-900.0	
50	-2.523	-900.0	-2.1907552910490464	-900.0	-900.0	-900.0	
51	-2.054	-900.0	-900.0	-900.0	-900.0	-900.0	
52	-1.593	-900.0	-900.0	-900.0	-900.0	-900.0	
53	-0.3452	-900.0	-900.0	-900.0	-900.0	-900.0	
54	-0.1535	-0.17979471754857582	-0.18994942913277924	-0.18826933281842545	-3.951931895440701	-900.0	
55	0.585	-900.0	-900.0	-900.0	-900.0	-900.0	
